path	size	sha256	blob_oid	scan_status	scanners
model-00018-of-00141.safetensors	5363339264	756113e9521d3955d38f684b6997fd68eaeab92c660270aa2ce1d57b119bd84d	1b29bc29cafa7a9e94cdea883c4b49683725cf76	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00019-of-00141.safetensors	5361736408	4dd4ec5b07f1d12b576049d435ac158fbf3442ff6335250bfea3f15577a83154	d7e67afbbf661e96874062d869f5315333ee75fa	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00020-of-00141.safetensors	5364805840	5381c71742768c88e2692ab164ef07fcd37a85bd1cbc5333a763554d2a9e5a74	d737be4488957d8f45fa7295fbae8c988e958472	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00021-of-00141.safetensors	5361736336	13aa866d1b48ee5341c020ba314954909ff16ee0b36f9c4bed21919e3ab2c958	7e39f457d8f9134f4509d41730b96d4a9d6fa3c5	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00022-of-00141.safetensors	5366353872	99e5ca5f30d7129b6b10e60c941e38341704cddbf2d7c0acbc0003e0ddec0e31	d79a570f37319ca52860e91c44e1406e15992ef3	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00023-of-00141.safetensors	5357948328	23b63f18f5a670a309074c1fb826fae01ecb12da1869477fb4ec12559336eb9d	a8798705681aa58ff90b850c3c19ba8e7c4fce4b	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00024-of-00141.safetensors	5357555688	fb99757b4ea90a1b18c6c080d56da37eebf4247ae88893adcb12db40ab058551	4702a9203f6b378fbcfdf426436c3b352ce25ee2	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00025-of-00141.safetensors	5363339104	e78dccea55fe0d54686ffefce8114278132e35b1b482b5fbde77eba405ec305e	b125efc709761e3a0f4102477a600ae3b954a722	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00026-of-00141.safetensors	5361736696	12a4f637a50fe23663b52425fb5d75c50a3fcca4211485aecc4a4e7b1bba2817	21836651665a38a5ad42669f0e3060b6eb5c4ded	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00027-of-00141.safetensors	5366353504	9beb92efca20325a0dea2d0bac9a3c131c6b533d89a416bbb5035bd9cf02c8c5	30cceae87fddf94602e84fe7b9bff6070294fd45	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
