path	size	sha256	blob_oid	scan_status	scanners
model-00012-of-00059.safetensors	16079479408	428bd21d923d485be8f3a9c07c05f11d4cbb17663b116501f7ce70920928e0ae	4c452951334786288d5a7d399026d166a36100d9	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00013-of-00059.safetensors	16079479408	63e7bccc9bfde81758dbbc8f3c1d489265e5e7b8090cbd3c680f716169238d02	08fea561996178d141b82eff59418a98c6afb9e3	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00014-of-00059.safetensors	16079479408	2bb43609c1f96762ff37e1ea96e5de13042e7ca449f456b6f8e8177adf3c7a6e	d4223c82322fd6277caf233056d8ed5fff6df77b	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00015-of-00059.safetensors	16079479408	e8a996b3b76b09d956f38c37ec7a0849068ac4cf42da2b449055d6ab452d422a	3f368a683604a23e268bff7e3781b92a6656ab72	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00016-of-00059.safetensors	16079479408	468d354425f54ad3f8f4f434d611fa27c1164e5362610acf2e58a491c41157f5	f77bbc29dae4d1ff0bd7f11cbae8b5b5300f35a4	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00017-of-00059.safetensors	16079479408	6698280d2df1837e76674b1b93825b397390c80ff4790f5a3cc12fb555e4b86e	c0d56f8f79f018ce95d0cbf1c52aa322099f3c84	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00018-of-00059.safetensors	16079479408	52982932f6fb23d4805317bf9785582b9e6db13d034669f45d8b186df7110b6e	0ac4a4b28aed8a3de7e179929b2d2369b997bfe4	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00019-of-00059.safetensors	16079479408	999ed59667d5546aa47ed447c63d3a7523e1c011c0406c3db27248fb88789aa8	f6042aabdd75643bb7ffaf82b8321b6ca00e98bf	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00020-of-00059.safetensors	16079479408	465b4c6a0b2aa62ee77364d885d25fc05348704fc721baec8a68be99ce96b2a9	901f31f53bd034e5ba788015d1d8259c68c7ccf8	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00021-of-00059.safetensors	16079479408	10f62f292fe4914b80ba3b1304c88152d25dbb811a89ead2609ce7f831e80fc4	1f51c0182d8d40fc24f56b33e411e07cb8b63f66	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00022-of-00059.safetensors	16079479408	7a2a1e556b9dfe3915ceb28a0a6394372957c63063f692c740349a74b6aa177a	e687b810c118a8972684623df92b6bad77913639	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00023-of-00059.safetensors	16079479408	f8294c392c4daff5deca1fd3c0c22de13bbc79078a18986e8865a49527dbe275	8ba02c56b1ae7740feba321e6fa29787815ae4e5	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00024-of-00059.safetensors	16079479408	5c54a7513a720e7d1a9709be756d5f78fa97d14b0e7ce9877494cebad681852f	563984ea6afe5ceb8cb250cd184fd0085fb95123	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00025-of-00059.safetensors	5245548280	06562ebf1ab9a4ebf1c048dec2de812ca4bec77f1250b868dc90c72d96fe1137	8c42895860b0c31bfc8eb4a010ba10f4fc6504cf	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00026-of-00059.safetensors	15302516656	92d4b0199b5bfc57337d15ab057d9056bad11d37788274a1727a69d929d7caac	4a7c823c136e9f963c1ee25175fb0bfff4fd8367	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00027-of-00059.safetensors	14833765536	3d707b6c6f9240204119bc781fd2d4f0640866c02de75a5b9d504aad73003c18	a2bb8248e0c845217d390f1d83f7cb7c27acf925	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00028-of-00059.safetensors	14833765536	713c7a51b4dfaef7f36016e5f33fd0af6aa2842a0c424786e9163b2ceeeecb63	e32d598b338136c504e20e9ed3386bef68fbe19e	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00029-of-00059.safetensors	14833765536	1c912118399e767c7eaf5d7096d78a91610df7a67ee1d11de141777d2a5c3797	310f33add413c1bb0f21446ba0e4ab2323061753	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00030-of-00059.safetensors	14833765536	20553bba3fd11ae151b2160c1b33f6dc5a7da0a6e9c6bd408fb300fcde4727eb	da027df5142bb9cc857e62ac7ae3baccd22ce835	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00031-of-00059.safetensors	14833765536	03d00987b21643b8a5821641dd829473433c9b0b8f98b48732ca25fcf27c5e48	db6cba2c456ae6f4b6af889d6091dc72c13a455f	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00032-of-00059.safetensors	14833765536	a6bc4b5a14c34d6ddd6b784f2dd5c358d142bb7b50087329ab07b124461899b5	153abbd70f092a3ef12a0e0740e8dd3199be0bd0	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00033-of-00059.safetensors	14833765536	316fe078370010b9d95ff1d9bc7c21c6198610da8ed5d2d84d0415fc24bee642	63db7ce7b2f236173932379384ea469942e33bbf	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
